leagueId,tier,number
057a32b1-6c1d-4862-bb69-58d28c977812,IRON,22
05bc48cc-c39b-4189-b6da-588d720bac4d,GOLD,168
05deeb85-6909-4458-8b77-ed31f0347a22,SILVER,152
05fa61d4-e55a-4ebb-8eb5-b5b82d2b4232,SILVER,193
06089c36-c26d-4ab5-97c8-9b624236cd7c,PLATINUM,199
061d872b-c993-4966-97b9-b6323b95d01b,BRONZE,140
064f4c4d-ddf0-48fc-a58b-821ff40c946c,BRONZE,39
065b2aa4-6206-433e-a81b-25a69a46ae56,SILVER,190
066569d7-e60b-4539-ac7b-49cd11a042b9,IRON,43
06682835-9a92-4cd3-8e5a-f4ad31dce80d,BRONZE,102
066b9070-8fb6-48c9-86d8-a28215336062,SILVER,195
06a4849c-6696-4f3e-be95-55cc10dccbca,SILVER,173
06c84ea7-c06d-42da-9a2b-7d86fed39e16,SILVER,86
06ea100b-cb90-46fe-9a00-cad44cedb532,GOLD,199
071dceef-034a-490c-bfc6-f6db75538d47,BRONZE,35
0740def0-7a12-4667-9ae6-dbf0561b4a2a,SILVER,101
0744a00a-a9ca-4d29-b185-b63aa05177e4,GOLD,194
0765443c-874f-42cd-b454-47f890f48984,SILVER,68
076c86aa-95d5-4f4e-be46-455bf7f53765,DIAMOND,105
0798fe83-4431-40cf-ae42-bbcee5014229,SILVER,92
079c1afb-8da9-4603-8713-4a1774e98d80,SILVER,169
07a0e461-8648-423f-8587-3bc419f34f33,SILVER,170
07c8f2cf-951e-40e8-af65-8380c2a6888a,BRONZE,30
07d0e7e7-6de9-4b4a-b46a-b4bc5f29cc38,DIAMOND,212
082c94b3-408d-4612-bc09-18cb8393a46f,SILVER,112
08522007-7701-425b-b575-bf23f8ccaafc,BRONZE,70
0874cdec-c499-4f48-b959-2cb74877b1dc,SILVER,74
08a2f986-5bec-4d20-94e1-d41ad27cadc3,SILVER,171
08a4136c-126e-41d9-a9fb-f9c3078c62b4,IRON,19
08dc53d2-a0ba-4aa0-a01e-016f1042cf10,SILVER,124
08eda179-4fe5-413d-85ed-1d92c2bc78d8,BRONZE,123
08f9e0f7-d2ec-4b74-85bb-f7047a041a12,GOLD,194
090076e9-1bd7-47a1-b254-175277529bee,BRONZE,56
090ea6a3-4db4-4b03-80ed-bc9a9a13f2e4,BRONZE,65
094fbea1-88b1-444f-a87c-c2a51ee77a14,SILVER,170
09557133-b768-4a5d-ae56-3bb6c160ee59,BRONZE,76
0955fa14-ff24-4a8a-bbf4-7a06d8f90d8a,BRONZE,45
096cfcef-200a-48cc-be5a-b75e6ce00ffc,BRONZE,44
097111da-3440-4b79-a386-117b594807f1,GOLD,186
09734dac-96ba-4054-8a22-09adf704606f,BRONZE,70
09889cd2-b42e-470b-a567-be18dd3d6033,GOLD,195
09a98f15-c98c-4d50-91c3-304fcc44c0ed,SILVER,74
09e96ece-70fd-437f-a40a-788fe4e0c26e,BRONZE,125
09e9760e-86de-46c9-9b28-753ec4c00008,SILVER,120
09e98d9e-6335-499f-8fa3-3974167233cf,BRONZE,55
0a176560-f76e-4191-b76b-782b2b8a000d,IRON,26
0a1ebef4-35bf-46d5-8637-72a4bd3fbba5,SILVER,153
0a376649-79e1-45fc-8b8e-650bd38fcb28,SILVER,95
0ad337cf-0836-48ae-ade7-f762355874bd,GOLD,200
0b0a1a0c-7e58-4538-8952-34015ed8a803,BRONZE,56
0b2979b5-f768-4463-860c-f70a178b6be3,BRONZE,57
0b3f1968-dd7c-4354-ad85-f618fad9ed82,IRON,28
0b58e350-dc70-40d2-869e-08d13cf37afd,SILVER,191
0b7042a5-218f-4216-8557-2aad2aebb698,SILVER,101
0b774adf-3598-4700-a900-a449f738cd3b,PLATINUM,199
0b79bf2f-d599-48f3-8aeb-3f039eb6af33,GOLD,124
0b9dfbed-0774-4459-aad2-d94ce3b3b49f,IRON,17
0bb4c2e7-c4a3-4ff9-8648-caf3de8f2902,SILVER,194
0bdafef0-05bd-43a3-bb5c-456628cf95d0,SILVER,114
0be5bb3c-6a53-4019-be92-29d27d5531a8,GOLD,93
0be5d3fc-1c85-406e-beb5-c0717be0fa93,BRONZE,72
0c6186aa-77df-498f-9681-81129484d4e9,IRON,16
0cbb0122-5c19-45c3-a729-7e145720c513,SILVER,192
0cde7b8d-afa6-4fb3-a11e-0aafe681fec5,SILVER,95
0ce09076-355f-426d-bd92-37396d3b70ed,SILVER,91
0ce181a3-8d21-4621-b0f3-ad5691d63b33,BRONZE,135
0ce328e3-0880-4a90-b2ab-1d64c441ba13,SILVER,157
0cec5eab-854d-4928-8013-7d30c6eb318f,BRONZE,128
0cf9fb5d-85ac-4c3f-96ae-bee08204d117,SILVER,159
0d0659fd-a4b2-4aaa-ae98-cd84301aec6f,SILVER,131
0d15a1e6-d690-4ac9-afbb-4cc58a83e1f3,GOLD,156
0d242432-465a-492d-8900-6b1b3735c10d,SILVER,83
0d7ff3a1-573b-414b-8525-530b826e4d38,GOLD,109
0da1348a-e564-4f16-afda-c70dff016582,BRONZE,128
0da383b5-305b-4eff-b940-5fd6b1bf4ce4,SILVER,95
0dada77b-ecc8-49c6-a9de-64a30218ff2e,SILVER,165
0e36b973-a457-4d77-80c8-36d8ff0d7d64,SILVER,166
0e6ce100-68cd-4af0-8e25-9f385052d868,BRONZE,120
0e702435-e3c9-42f0-b433-43a516f02544,IRON,26
0e836074-2798-41dc-ad60-bf6f69be9818,BRONZE,58
0e9c5b1e-ee1b-4682-a9db-73efbdb4bb5e,SILVER,150
0ea63618-3abe-4b87-9d98-17628e4078b0,SILVER,169
0eeda2c2-a313-4c4b-ac6f-639e74d1ccfb,BRONZE,54
0f626176-cb1b-4506-b430-839ae938b401,GOLD,180
0f7eac69-dd21-4d66-9ebe-3ae36a564156,BRONZE,116
0f93f289-6dd1-4465-94bb-371e6cdd89bc,SILVER,97
0fb2eb3d-216a-4b93-bd31-34bba277c7e4,SILVER,183
0fd005c0-056a-46f6-b77b-437af0228bde,BRONZE,64
1017ecdd-eb80-4d06-a1f0-31a2872b59c3,GOLD,195
10181a33-bc58-4573-81bd-baebb2538d62,SILVER,90
101b1544-2966-477d-a52c-47fe03be1e2d,BRONZE,122
1027d2d5-f804-49e6-8ee5-4cc54de62d4d,SILVER,188
10444916-0fb1-478e-a867-75b90d916274,BRONZE,72
10efd70c-2125-4827-83b2-ffe71f2100f6,SILVER,60
110ad3a9-84e1-498b-a957-e0de6077c52c,BRONZE,64
111e5f25-72c8-4bf9-bfbe-f0be711b8205,GOLD,177
111f15f9-3f51-46e7-a4fd-a5df9b9c99ea,IRON,14
11372146-1f74-4592-87e7-85a6c08721d6,SILVER,93
113b27c5-0525-4eb4-8e17-9cb29ae658a7,SILVER,185
11530fd8-75b4-45cd-87d7-858180de4f93,PLATINUM,120
1162f61a-7596-4e61-be65-6033d7ce8e15,SILVER,129
1169c6fd-90db-4b1a-96ce-4aa6cf1ca4ed,IRON,21
11ae1194-c918-4e9e-b883-c3b2e1dd1e7e,IRON,31
121aa376-7f4b-4799-b4fb-c0f7631caa6c,SILVER,79
1225cace-c1c2-421e-be8d-316cb152dada,SILVER,184
122cacff-3f79-4045-93f2-f1e90641b8e9,SILVER,110
12578aeb-af9d-4ab2-9031-4afbfe6465d8,GOLD,116
1274a499-8e33-43fb-9e77-3d6c79973a9d,SILVER,113
127d1e1f-9886-48f3-9c20-c8939ea368c1,SILVER,99
12801147-77e8-4d43-bb48-a55a802bf39e,GOLD,92
128fd7b1-102b-4bf4-ad38-af2d4ae580d8,SILVER,167
1291c8c8-9c3c-4b4b-8aa0-fe4c6833490e,GOLD,136
129484f0-7163-4a4e-8983-efe55da2d0a3,SILVER,176
12cbb791-b00e-47c6-9d37-3389e97d21c7,BRONZE,137
12d67b9e-699d-4efe-a0e7-8f5d045341b9,SILVER,183
12fe580c-2f20-4995-a0cc-266f020914ac,SILVER,104
132b4a67-e43f-4916-9e06-abc6ed07e374,SILVER,78
132eeadc-b342-4ec5-b8be-11abf814d324,BRONZE,73
13331318-b7f7-4842-8675-86fc71b4d80a,GOLD,132
136cfb31-43b1-4e76-8dfa-d9e5c3bf70e8,SILVER,106
1399455f-6c15-4b38-8ac5-a443cfc2e9bc,IRON,19
13d5098c-eeaa-4150-8193-9f507a2d7808,SILVER,189
13e29647-9e5e-4207-aa28-e6ec4cf949f0,DIAMOND,249
13fe391e-2e67-47af-9194-e41b8fe56951,SILVER,91
1400b314-bf3a-4d54-80b1-3cbf82469228,BRONZE,136
141144a6-40c5-4589-b7d0-a6a5c5e1a7bb,GOLD,219
1426cab3-c17c-4036-b7df-5ffd65d67048,IRON,52
144930e2-3691-40e5-97b6-0c020d41c51c,BRONZE,54
145907bc-176a-4e23-b831-5ac4537f5c09,BRONZE,43
145d4fc8-cb58-4e32-a2a2-681306a6d093,BRONZE,46
145faf4a-5469-4d39-a634-6faef5be006d,SILVER,82
1481e2b6-b857-4e8c-a925-0f42c270f0b9,BRONZE,53
14aa2b18-5316-4846-8184-ae6d7a1bddcd,BRONZE,76
14d024e0-734d-44a2-a2f6-dfb813c75fde,SILVER,69
14d7d14d-a6d3-46ee-b78e-60fa0ecc37ed,IRON,23
14e62ee9-eee7-4baf-9530-61919ad5fac4,SILVER,131
14ec056c-1b27-4f41-940f-ac516725c905,BRONZE,47
14f98210-bdde-4cd5-b082-f3c664dba6f5,GOLD,191
15115fd8-8463-454b-bf24-cf27496b5101,BRONZE,66
1524eaf1-dd99-440e-8fb2-7472bfbb1dc1,SILVER,181
15380506-222a-404d-ac1b-bbd28062e442,BRONZE,106
154839c4-6ebf-4852-8f57-ea443853640c,GOLD,170
159149ee-9788-4277-bf8a-069222534412,BRONZE,94
15ae3150-986a-4cd1-93ca-c8511b532e94,SILVER,74
15b9a08e-0f02-49f1-ae32-28acee6ff2d7,GOLD,121
15f039c9-9017-4fff-bd50-5fe5d27730e3,SILVER,95
15f3257b-b5f1-4231-8d62-b6d0ec3fb309,SILVER,174
1603a183-d507-4d09-9ca4-cb2a50ae33f7,BRONZE,51
160bf755-7900-4de8-bc65-6fdc978c7ea9,GOLD,96
166169b0-0cb1-4d7f-9f3c-db3aab3b18c3,SILVER,161
166ec2d4-435d-49e7-b96e-ce8747bf1457,GOLD,92
16947631-aa6d-42e8-a1cf-b65534f3dbd6,SILVER,157
16c1787a-0825-414e-bc4b-5656312b2300,BRONZE,144
16fecb60-5af3-4306-a88a-eaf2e7c4ea8b,GOLD,129
171a2190-adc7-4064-8603-0a90d832bf2a,SILVER,78
173d7e84-4a5d-4864-8202-03ac156fbb2d,SILVER,190
1740a6eb-f45a-4b3a-aacc-8b2153cef817,SILVER,188
17503745-6672-4a98-b17e-5bbbaff371ed,BRONZE,49
175fb19f-18e6-4c10-a336-b93c10f7a787,SILVER,105
1772b824-f360-401a-93a4-b9dcc7f61784,SILVER,174
1797ac11-f036-4b3b-96d1-1e64dc545469,IRON,60
179a94c3-c5bb-41c1-ad72-c86db91abe8a,SILVER,157
179e26fb-bb82-45f7-b7c2-41f79128fecf,BRONZE,149
17dde774-580a-4593-ba19-4421621eec04,GOLD,195
17ffb437-cac8-4133-afcc-80115b15758d,SILVER,96
180799a1-50b1-4491-ae13-ddbbe7708062,GOLD,192
182187d6-f58b-4f9a-8eea-42f6185ffa86,GOLD,202
186a74d4-88b1-46d3-994f-56c9c5644c9a,SILVER,162
18ac7725-c53c-4026-bea2-2fb5bd63dae5,GOLD,92
18f973e8-14cf-4646-8278-b5b1d8fe0556,BRONZE,52
192f7e7f-4bfe-4617-9c20-4b418c130b2b,SILVER,185
19356aaa-8114-4599-b3f3-2d458a33641f,GOLD,181
19573052-5966-4301-bc7e-e1fd78430e20,SILVER,189
1960b3dc-e3da-4039-84a5-1aab8f557b38,IRON,14
197cdbe5-17cb-4f08-930f-ecce36026c9b,GOLD,180
1995a79a-cc73-4383-9011-45442125741b,SILVER,186
19a414d8-56f0-4f22-9c23-f6ae337dbbef,BRONZE,104
19b12234-f29a-473f-871a-36df17595999,BRONZE,66
19c73c81-77df-4e58-a3c3-a5dab273c222,SILVER,96
19f4845c-fabd-45e6-9e70-b67457aa4599,PLATINUM,182
1a0073e3-d227-4540-94f9-10de4d99c220,BRONZE,103
1a50d09a-5e61-4747-8b8f-bb9869819aa4,PLATINUM,244
1a5818c5-80c2-4d4c-8da3-ebc96c04205c,SILVER,114
1aec9db4-dcd2-4058-9934-a4f5d94109e9,BRONZE,69
1b2e0c1b-ba9b-45cc-ab95-1a56414cbd15,BRONZE,44
1b57a510-0cdd-4003-9606-8092d8207b4c,BRONZE,99
1b602f3f-fa14-4086-a0ab-8d0f5fe21d41,SILVER,103
1b887512-a2a1-4faa-8b18-d139d026c8bb,BRONZE,133
1b8befca-ce48-40ab-9fa2-a01e02f20dea,IRON,27
1ba4f447-358f-4ea3-810f-aa2450fa767b,PLATINUM,243
1ba93645-5f4d-4f14-a485-984be2395824,PLATINUM,207
1baba960-3a76-4f61-a31d-607090ed4ec6,BRONZE,65
1bb219a9-d73f-44e8-bb30-695cb61f0fe2,BRONZE,66
1bcb8bec-8b55-474c-b310-35b174ae7dec,SILVER,152
1bcc2c34-8e71-4dd6-aefe-6c1b26c59a08,GOLD,179
1be52fa4-cb2c-4bc9-b496-5277cec76c61,SILVER,181
1be8330c-d2f3-4a74-8035-6de75d689553,SILVER,187
1c352c84-33db-470e-ba75-52c434c422ac,BRONZE,63
1c5ba062-cb93-468e-a868-7abb24ad6f19,PLATINUM,103
1c673c5a-d356-4ffa-93e4-f7ca7dbf99b8,SILVER,93
1c772a9d-f381-4afb-b49d-c01ec1b6f229,PLATINUM,142
1c81a8e3-9b64-4b2b-8b44-d617913da008,BRONZE,46
1c980f7a-463d-40ab-a63e-c82fa17d6c18,SILVER,192
1cb7d54b-46cb-4b01-b7ba-6c9bddeafb70,GOLD,189
1cbb9844-355f-4778-9501-2262f1265931,GOLD,178
1cbc98a1-11c4-4e75-949d-cc2e15d79c36,GOLD,195
1cbc9a53-407e-4fbc-be05-9180d23292d6,SILVER,73
1d1684b9-0dca-4b2a-8c75-c0894ba02778,BRONZE,145
1d20ba74-27ee-42c6-bab4-23a32cb53407,GOLD,196
1d2f37e1-3b68-4dc3-b9b9-8bb412629766,SILVER,180
1d34ea2a-56ac-4671-8980-394c7e409868,IRON,26
1d3a3b1b-fa66-47a6-aa3c-18f525c28aed,SILVER,96
1d54856a-745b-4858-a0b3-caec2118f284,PLATINUM,204
1d7d0426-d27b-4821-88f9-42a64fa79490,SILVER,143
1d809ff2-51ad-45e1-ae46-e81ef41bfc77,IRON,20
1daf9505-8f14-41cf-b66d-e93f0ba74040,BRONZE,110
1de9feee-8ed3-4e21-bdee-1c580dd4992f,GOLD,203
1deb67b3-1596-4b96-aeec-d19f0efbc0f3,GOLD,91
1e14a0f8-614f-490c-8b17-455346be02c7,GOLD,202
1e1d1be2-4632-483d-8c16-14114f1e56f7,GOLD,194
1e71a57b-d571-48db-af65-e49bd0e9805b,IRON,9
1e931ec2-e62b-42e1-8bb4-2ad4529e45ac,BRONZE,49
1ecd9b21-dc14-4d53-b3c0-08e7c1ed1e0f,GOLD,198
1edb0af3-ae51-4482-8078-b4600ce60922,BRONZE,55
1f3da8f1-4923-4517-9575-9fd405bbe734,BRONZE,52
1f6dbca0-3b62-489f-932d-9c806c761c4e,SILVER,192
1fadd346-a2a0-41fd-b7a7-a5abbd05a8f3,GOLD,198
1feca7c1-5846-4a0e-b060-36b452da714b,SILVER,181
20007678-caae-4f34-be64-02f89801c0ab,IRON,40
20281d15-c8ec-4cc3-a26c-ac5261c48f73,BRONZE,52
2039a315-e0a0-480f-8543-05611567243f,SILVER,192
20516787-0e3b-4bb9-985d-502444d76478,BRONZE,50
206fd687-33b4-472d-878e-a513748f5a7e,SILVER,86
2074c6a1-ffeb-4be9-a5ec-8ea98629d6ab,IRON,29
20972b72-e5a1-463a-87ca-449e520586f3,PLATINUM,197
20a465c4-7c69-461d-be48-c118a635f134,SILVER,95
2137e8e1-b68d-42de-a076-0824d5f6d9be,GOLD,116
21407047-2d87-4cc6-97ae-7f312df58906,SILVER,138
219ffb9b-84af-4ce9-ae04-57b7b3b97039,BRONZE,72
21a7eebe-53cb-4781-9a3a-30cce23798a2,IRON,22
21d36357-401a-477d-ae75-457bdc341af8,IRON,27
21e283b2-b7bf-4e98-842e-dfc6a64122b0,IRON,15
21f362eb-2ec0-4780-a62f-3b4f4dc71cd3,IRON,34
21fc94d9-c43c-46dd-bfc3-fd6effc32248,GOLD,94
22179cef-f46c-404e-8043-0fe55683ddbb,SILVER,88
2218a123-e53e-4a6d-b846-572685b505ad,SILVER,185
2247a455-9698-4bad-805f-eeea93c280d9,PLATINUM,198
224805e0-56a5-4c00-870f-240f58b1ab0a,IRON,55
22a06d34-7371-4481-a834-e1a96f7e8875,SILVER,166
22e7c381-8ab4-456f-823b-978353b6af69,GOLD,184
2301d693-0692-4b36-8626-e31323bd3f6f,GOLD,170
230f9e69-68e5-40ba-ade7-d83edf114faa,BRONZE,60
231927f3-937f-426a-b5d7-b4e4915522a5,GOLD,195
2336ef3d-47f3-44ad-ac75-1f50827a4181,GOLD,101
23430c95-285c-42d2-b93d-5f0e554ded52,SILVER,83
2358e889-98b9-47bf-8cfd-8119dc407191,BRONZE,65
237584f1-a58c-4c4b-943e-608c534db281,SILVER,66
239ada15-e7f6-41e9-909b-f656fa663909,BRONZE,68
23abc485-24f7-4e6b-bbf4-dd3eabfbffe6,SILVER,152
23b13279-4a25-4492-b49f-798046786668,SILVER,137
23b70170-34ab-4255-80ee-0f16d481bc5b,GOLD,183
23c3613b-5d60-475d-948b-e56d48c70d1a,SILVER,109
23c58be8-ffc6-4f4b-995f-30255def043b,GOLD,110
23ca301a-d7cf-45f3-835e-84d47b61fcbb,BRONZE,129
23da51c6-f4d7-4cf7-96eb-8a7ba43c3024,GOLD,203
240d6c46-03a5-4b49-9ae8-5b80ed54f0db,SILVER,186
2419224a-7c2e-400e-b7ea-976228d2a65d,BRONZE,71
24281c1c-5f60-4d0c-b972-1fb0cd92e87a,SILVER,168
2441dba3-1202-4df9-be40-f2788d953d90,BRONZE,57
2467c8c1-fd3f-43a4-a774-0ebaea4cdde5,BRONZE,38
2474a63a-ad48-4d6c-84e3-2a2fc39de72c,SILVER,182
247d3e03-9ba1-4f65-8fbf-909bf2149446,BRONZE,147
24855ded-c472-4f6c-9d60-cc91c508addb,SILVER,184
248655d8-2753-4a15-a49c-dae5000341b8,PLATINUM,120
248e8961-3a2f-43ca-a362-c5c6240731fb,BRONZE,61
24c4422b-6997-40e0-873a-30143820c695,BRONZE,70
24eb80ae-6f0a-46bb-b8aa-e543d45638c0,BRONZE,135
24f0f7e8-0ef5-4e12-ab2c-a9a4720db936,SILVER,99
24fa851a-c9ac-4958-a33c-b75e9431334e,BRONZE,104
25216599-fbbf-415e-8d7e-409ad31432af,SILVER,160
2524fda4-e38a-46f7-b364-8d3324faac6e,SILVER,181
252c5a0b-fcaf-4952-bc94-ba5de774d434,GOLD,97
252ca4f5-da3d-4864-b373-a855acf98b96,SILVER,93
255fb0c2-dacf-4eb9-841a-4086382eb034,SILVER,91
257f5172-d127-4edf-9988-6750a381ea31,PLATINUM,247
25866795-f19c-451a-bed5-8b3bfe507a01,BRONZE,139
258ada7b-2bef-40fd-8ca5-f8fd9dca6f70,GOLD,169
2591f1b0-12e3-4f63-8592-7160ad41c61e,BRONZE,56
25c3d975-231c-49e9-ba9c-e8b776fea6d3,IRON,24
25da37a4-fcd5-495e-855c-e35d315c17a8,BRONZE,86
25ded7d7-a0bd-4e05-b927-306755a794b1,SILVER,123
25ea4f79-34d1-414f-b5ad-bab4e4271eb0,SILVER,169
25edc3a8-6d1c-482c-baf0-638cbb18dd6f,GOLD,114
260105f4-1219-4307-aa16-e0fc007f98f2,BRONZE,91
2607a051-84a0-42bc-b4a1-0c702c75f9d7,IRON,45
2617b646-4da8-4f80-a64a-50d085c43d53,GOLD,196
2621a519-4e6d-4044-bf60-42cf62349465,SILVER,158
263ca1f0-693b-46b6-8dcc-74dfb6378987,SILVER,72
264f4df6-a8e2-40b5-adbe-ca6cf56098ec,BRONZE,141
2687505d-5fc8-4637-bf61-65cb2ecc3a44,SILVER,75
26af0a6d-e7a1-41ff-a41d-0e129d95eb67,BRONZE,122
26c446fc-307c-41f6-821e-3a737e966fb4,IRON,17
26e3f3b3-bbf5-4f7b-9ba6-766a8f552bcd,SILVER,180
26ec60fa-00b2-4201-abbe-27ac4483b764,BRONZE,70
27081c37-4206-44b1-aabf-35c2feb251f3,GOLD,197
270c7c64-3ef4-4f26-89ff-f77c399b0dc1,IRON,23
27118451-7a50-42bb-90ae-fa2e53955e57,GOLD,116
27316355-9071-45a9-8cac-1bf927c071fe,SILVER,157
273e4192-beca-4b98-8d4d-16f767f464ef,GOLD,196
27821206-9318-4490-82cf-43b399b548ac,GOLD,196
2789025d-814d-4d65-8802-f404ee8af127,IRON,64
27a83914-67f2-43c3-99f0-8634e4018c3f,SILVER,94
27ca0aa6-5bf9-4b9c-be41-a21d197601bf,BRONZE,67
27ca518f-0069-4160-80be-d2dd2b379803,IRON,20
27ffc6a2-d111-41d8-9cc2-bef5cc2c5e1b,GOLD,197
280edaf1-1560-4126-93dc-ac51c708b645,IRON,25
2821efcf-1b31-4a3a-8b0f-13a32f770a1a,BRONZE,61
28289410-b220-40bd-b554-ab75ad80a8c5,SILVER,190
2846760c-85f5-4eed-9d93-c260f0ad01d8,BRONZE,115
286e40f9-f64e-4fe5-b120-60c361ca50b9,GOLD,98
2870fd46-2768-45df-a723-7bd9a6c2435b,PLATINUM,108
2878d692-177a-4be8-9b26-e93a1a33d39e,BRONZE,56
28a818e5-5aa4-4666-bfb2-ea89b78d89c7,PLATINUM,200
28a9744b-641f-4eea-9693-583b75bff8b3,DIAMOND,200
28bae549-b526-488b-8d2a-13375bc2b3a5,SILVER,84
28ea811b-1a7f-43ac-91da-3d8d9bdf4651,IRON,19
290767ba-4da0-4069-9344-c52421fc2df0,PLATINUM,232
290b0300-e1b9-4250-9e6a-05d8d91f70f1,IRON,23
2926fba6-0236-4e63-a69f-8b7b152bf8ec,GOLD,133
293371a0-d044-428f-9634-fdfc00578cb3,SILVER,192
296caf45-7fa5-489b-aec7-43027a89e352,SILVER,192
29928acd-015d-466e-a727-c404d812ff06,BRONZE,73
299d635d-a6a7-4707-a341-9c2cab71d343,BRONZE,63
29a164e6-7c9c-444e-9ee6-5a9f4eebc0ce,SILVER,84
29a34de3-c9f9-4884-b74b-e6ae7e7a3553,SILVER,198
29d6e339-4aaf-45e2-a704-9d09c2d18156,BRONZE,61
29f0044a-5e0a-4604-b669-fcc7fd9a224e,SILVER,106
2a20a59f-7e97-4e43-b1fb-7adeb2dc15f0,SILVER,199
2a26bbc4-d0c0-421f-b47d-3f333548e8e8,BRONZE,52
2a49da8d-6a55-4f30-8cd3-d41f73c7843e,BRONZE,53
2a51e6fc-9ed3-4499-abb5-74e942185383,SILVER,100
2a6e5a26-1a42-4cf2-b396-9d1dff3996e6,SILVER,93
2a6ff742-6205-40fd-a9b2-2c702cf8e155,BRONZE,135
2a7a0dd7-6ef2-45d3-9ec0-07d841b7c382,IRON,28
2a7d6b1f-782e-42cd-82f2-2577560514bc,BRONZE,42
2a8eb999-d183-46c7-9454-f7787552346e,SILVER,89
2abd2452-edd2-4a8b-8d7c-55f141ad7c73,PLATINUM,202
2ac64415-05b3-4b99-b5a4-711a1a764cbb,BRONZE,103
2af4bbff-db9d-4f29-8e86-54dfcbd4a08e,IRON,56
2afd9628-22cc-4b1e-8f43-c5d19c8dac48,BRONZE,66
2afe992e-b847-4a75-b006-84acfa2471bd,SILVER,93
2b43bee8-5f4b-4f0b-8ed4-c945551e7bd7,BRONZE,55
2b45841d-9406-451e-a06f-55d1cab4a89c,SILVER,151
2b66931f-c733-4a62-b883-543b376f1a6c,SILVER,136
2b709aef-ee4a-44be-955a-892105f62af4,GOLD,113
2b8ed2f8-70ba-43e4-af72-2ca41f152591,SILVER,83
2b8fff03-22bf-46a5-83e6-2563df1b7147,GOLD,93
2b923944-b909-452a-9a8d-dafca9da58cf,SILVER,100
2ba6054a-3202-434e-8d8a-dc42906f5f7d,SILVER,68
2bb9a05d-fea2-41ee-a2ec-41436c48ec0a,SILVER,194
2bca6618-4ca8-40c4-9a4f-9f049dbbd4fb,BRONZE,64
2bff2b3d-a028-4d9d-86f3-b19ea8fcc497,SILVER,186
2c0f1417-dde8-4bb5-b07c-a38405c1c284,IRON,26
2c22092c-ec69-4b95-aecc-51c0b3314c8a,BRONZE,73
2c50b40e-03ff-4627-ada3-1ee686fff2ad,BRONZE,72
2ca9739e-8daa-4079-a28f-42a93326947c,BRONZE,62
2cb3b1a6-8068-4d90-b7d9-54f9708fa89a,IRON,31
2cc54262-6888-4a3b-a844-4525f2732c81,IRON,21
2cc57385-11e3-4a22-ac83-35ecb6fc4a7a,SILVER,188
2ce037ba-9e42-4b99-bc38-fbab0d01f3ac,SILVER,88
2cfa2d7a-de5a-4c8d-85cd-351c9bdf98bb,SILVER,160
2d162aab-540e-4048-9de5-74ca417ed310,GOLD,125
2d298513-9d81-4bd3-9427-6fc9303be9c2,BRONZE,137
2d42e5bd-6355-467d-98aa-5e8dc5d597df,IRON,42
